frame,status,missing,centering_reliable,sheet_left_x,sheet_right_x,sheet_width_px,pattern_left_x,pattern_right_x,pattern_width_px,left_margin_px,right_margin_px,margin_delta_px,offset_px,left_margin_std,right_margin_std,sheet_left_slope_deg,sheet_right_slope_deg,pattern_left_slope_deg,pattern_right_slope_deg
frame_0000.png,OK,0,True,-105.3,338.7,444.0,30.4,225.1,194.7,135.7,113.6,22.1,11.03,1.16,7.97,0.77,0.09,0.77,-0.23
frame_0001.png,OK,0,True,-105.8,337.9,443.7,29.4,225.0,195.5,135.2,113.0,22.2,11.12,1.41,8.16,0.66,0.39,0.78,-0.55
frame_0002.png,OK,0,True,-104.3,337.8,442.1,29.6,226.5,196.9,133.9,111.3,22.5,11.26,45.09,8.07,1.13,0.04,0.88,-0.49
frame_0003.png,OK,0,True,-102.7,334.4,437.1,29.1,224.6,195.5,131.8,109.8,22.0,11.02,1.51,7.70,0.91,0.41,0.73,0.04
frame_0004.png,OK,0,True,-105.6,337.3,442.9,28.1,227.5,199.4,133.7,109.8,23.9,11.96,9.25,62.79,1.01,0.25,-0.61,2.27
frame_0005.png,OK,0,True,-104.8,338.8,443.6,29.5,226.4,196.9,134.2,112.4,21.8,10.91,1.40,8.09,1.09,0.18,0.85,0.89
frame_0006.png,OK,0,True,-104.8,335.4,440.2,29.9,225.4,195.6,134.6,109.9,24.7,12.35,1.46,7.67,0.94,0.27,0.68,-0.39
frame_0007.png,OK,0,True,-104.2,337.7,441.9,30.3,225.0,194.8,134.4,112.7,21.8,10.88,0.92,8.02,0.98,0.38,0.85,1.23
frame_0008.png,OK,0,True,-105.1,338.3,443.4,30.1,225.9,195.8,135.1,112.4,22.7,11.35,0.59,7.90,0.99,0.31,0.88,1.35
frame_0009.png,OK,0,True,-106.3,339.8,446.1,29.4,226.7,197.3,135.7,113.2,22.5,11.25,1.43,7.95,0.88,0.13,0.89,-0.16
frame_0010.png,OK,0,True,-105.8,339.1,444.9,29.6,225.2,195.6,135.4,113.9,21.4,10.72,1.66,7.49,0.88,0.48,0.80,1.13
frame_0011.png,OK,0,True,-105.3,338.2,443.5,28.7,225.4,196.7,134.0,112.8,21.1,10.56,1.31,6.39,0.97,0.58,0.63,0.52
frame_0012.png,OK,0,True,-105.5,338.7,444.2,29.5,224.9,195.4,135.1,113.8,21.3,10.64,1.25,7.51,0.74,0.53,0.78,0.37
frame_0013.png,OK,0,True,-105.1,339.2,444.3,29.3,225.1,195.8,134.4,114.1,20.4,10.18,1.39,6.55,0.84,0.39,0.80,0.50
frame_0014.png,OK,0,True,-105.8,338.3,444.1,8.9,226.8,217.8,114.8,111.5,3.3,1.64,1.36,7.67,0.87,0.59,0.71,0.49
frame_0015.png,OK,0,True,-105.3,338.8,444.1,29.6,225.2,195.6,134.9,113.5,21.4,10.70,1.20,7.47,0.97,0.25,0.89,0.97
frame_0016.png,OK,0,True,-105.4,340.4,445.8,29.5,227.0,197.5,134.9,113.4,21.5,10.77,1.04,8.09,0.93,0.51,0.88,-2.84
frame_0017.png,OK,0,True,-103.5,336.2,439.7,28.6,225.4,196.9,132.1,110.8,21.3,10.66,8.70,8.71,0.90,0.29,1.61,1.46
frame_0018.png,OK,0,True,-106.0,339.6,445.6,28.3,229.0,200.7,134.3,110.6,23.7,11.83,42.19,48.92,0.96,0.73,0.84,0.69
frame_0019.png,OK,0,True,-64.2,342.2,406.3,27.4,229.4,202.0,91.6,112.8,-21.2,-10.59,75.97,53.50,19.12,1.97,0.87,-0.26
frame_0020.png,OK,0,True,-104.2,334.6,438.8,29.3,223.6,194.2,133.6,111.0,22.6,11.29,1.33,7.96,0.80,0.14,0.98,0.72
frame_0021.png,OK,0,True,-105.9,336.9,442.9,29.2,226.6,197.4,135.1,110.3,24.8,12.39,7.48,8.64,0.93,0.03,0.82,1.27
frame_0022.png,OK,0,True,-104.2,337.7,441.9,28.7,226.4,197.7,132.9,111.3,21.7,10.83,39.97,8.45,1.26,0.13,1.30,1.56
frame_0023.png,OK,0,True,-104.6,336.5,441.1,29.6,224.8,195.2,134.2,111.7,22.5,11.23,1.08,7.69,1.09,0.18,0.92,-0.27
frame_0024.png,OK,0,True,-106.2,338.2,444.4,29.9,227.0,197.1,136.1,111.1,25.0,12.48,1.29,1.36,0.88,-0.48,0.85,0.11
frame_0025.png,OK,0,True,-105.4,336.6,442.1,29.7,224.4,194.7,135.1,112.3,22.8,11.42,1.27,7.68,0.75,0.24,0.75,-0.17
frame_0026.png,OK,0,True,-106.1,340.7,446.8,29.6,227.1,197.6,135.6,113.6,22.0,11.01,1.62,7.28,0.81,0.31,0.82,0.67
frame_0027.png,OK,0,True,-105.0,337.0,442.1,29.7,225.8,196.1,134.8,111.2,23.5,11.77,1.23,7.61,0.88,0.37,0.79,0.16
frame_0028.png,OK,0,True,-105.0,336.5,441.4,9.6,224.4,214.7,114.6,112.1,2.5,1.23,0.96,7.91,0.85,0.24,0.72,1.24
frame_0029.png,OK,0,True,-105.0,337.8,442.8,29.5,227.1,197.6,134.6,110.7,23.9,11.94,1.11,38.55,1.10,-0.26,0.88,0.28
frame_0030.png,OK,0,True,-105.7,340.5,446.1,29.9,226.3,196.5,135.5,114.1,21.4,10.69,1.15,7.64,0.89,-0.23,0.75,-0.44
frame_0031.png,OK,0,True,-104.1,336.2,440.3,30.3,224.0,193.8,134.3,112.2,22.1,11.06,1.37,7.24,0.87,0.27,0.77,0.93
frame_0032.png,OK,0,True,-107.0,340.2,447.2,29.4,228.9,199.5,136.3,111.3,25.0,12.51,1.38,7.42,0.77,1.21,0.66,0.37
frame_0033.png,OK,0,True,-105.2,338.6,443.7,29.5,225.7,196.2,134.6,112.9,21.8,10.88,0.97,7.52,0.91,0.29,0.86,0.06
frame_0034.png,OK,0,True,-103.8,337.7,441.6,29.6,226.5,196.9,133.4,111.2,22.2,11.12,8.68,12.00,0.91,0.34,0.39,0.59
frame_0035.png,OK,0,True,-104.4,337.7,442.1,29.8,224.6,194.8,134.2,113.1,21.1,10.56,1.12,8.24,0.92,0.09,0.83,-0.10
