frame,status,expected,detected,missing,extra,detection_ratio,centering_offset_px,alignment_ok,missing_nearest_max_px,missing_nearest_med_px,false_missing_count
frame_0070.png,OK,113,165,0,0,1.206,10.9,True,0.0,0.0,0
frame_0071.png,OK,99,160,0,0,1.212,10.4,True,0.0,0.0,0
frame_0072.png,OK,113,159,0,0,1.206,11.1,True,0.0,0.0,0
frame_0073.png,OK,113,159,0,0,1.206,11.1,True,0.0,0.0,0
frame_0074.png,OK,113,160,0,0,1.165,-0.7,True,0.0,0.0,0
frame_0075.png,OK,113,162,0,0,1.194,-5.3,True,0.0,0.0,0
frame_0076.png,OK,99,159,0,0,1.176,11.0,True,0.0,0.0,0
frame_0077.png,OK,99,164,0,0,1.200,10.7,True,0.0,0.0,0
frame_0078.png,OK,99,166,0,0,1.188,11.4,True,0.0,0.0,0
frame_0079.png,OK,99,165,0,0,1.171,12.1,True,0.0,0.0,0
frame_0080.png,OK,99,166,0,0,1.176,10.1,True,0.0,0.0,0
frame_0081.png,OK,99,160,0,0,1.194,12.1,True,0.0,0.0,0
frame_0082.png,OK,99,160,0,0,1.182,10.1,True,0.0,0.0,0
frame_0083.png,OK,102,160,0,0,1.194,11.6,True,0.0,0.0,0
