frame,status,expected,detected,missing,extra,detection_ratio,centering_offset_px,alignment_ok,missing_nearest_max_px,missing_nearest_med_px,false_missing_count
frame_0000.png,OK,99,159,0,0,1.159,10.1,True,0.0,0.0,0
frame_0001.png,OK,99,161,0,0,1.141,10.1,True,0.0,0.0,0
frame_0002.png,OK,102,160,0,0,1.165,11.7,True,0.0,0.0,0
frame_0003.png,OK,99,151,0,0,1.118,11.3,True,0.0,0.0,0
frame_0004.png,OK,99,160,0,0,1.212,10.8,True,0.0,0.0,0
frame_0005.png,OK,102,165,0,0,1.218,11.7,True,0.0,0.0,0
frame_0006.png,OK,102,161,0,0,1.206,2.3,True,0.0,0.0,0
frame_0007.png,OK,98,160,0,0,1.206,11.8,True,0.0,0.0,0
frame_0008.png,OK,99,162,0,0,1.206,11.2,True,0.0,0.0,0
frame_0009.png,OK,102,160,0,0,1.200,12.3,True,0.0,0.0,0
frame_0010.png,OK,102,160,0,0,1.206,10.9,True,0.0,0.0,0
frame_0011.png,OK,99,161,0,0,1.182,11.3,True,0.0,0.0,0
frame_0012.png,OK,99,160,0,0,1.182,10.5,True,0.0,0.0,0
frame_0013.png,OK,99,160,0,0,1.182,10.5,True,0.0,0.0,0
frame_0014.png,OK,99,164,0,0,1.182,10.5,True,0.0,0.0,0
frame_0015.png,OK,99,161,0,0,1.200,11.0,True,0.0,0.0,0
frame_0016.png,OK,98,160,0,0,1.159,10.6,True,0.0,0.0,0
frame_0017.png,OK,99,160,0,0,1.165,10.2,True,0.0,0.0,0
frame_0018.png,OK,102,161,0,0,1.212,11.0,True,0.0,0.0,0
frame_0019.png,OK,102,161,0,0,1.200,10.5,True,0.0,0.0,0
frame_0020.png,OK,102,161,0,0,1.188,10.4,True,0.0,0.0,0
frame_0021.png,OK,102,161,0,0,1.176,10.9,True,0.0,0.0,0
frame_0022.png,OK,99,161,0,0,1.188,10.9,True,0.0,0.0,0
frame_0023.png,OK,98,161,0,0,1.188,10.9,True,0.0,0.0,0
frame_0024.png,OK,102,161,0,0,1.188,10.9,True,0.0,0.0,0
frame_0025.png,OK,99,165,0,0,1.224,10.3,True,0.0,0.0,0
frame_0026.png,OK,99,165,0,0,1.224,10.3,True,0.0,0.0,0
frame_0027.png,OK,99,161,0,0,1.188,10.6,True,0.0,0.0,0
frame_0028.png,OK,99,165,0,0,1.229,10.5,True,0.0,0.0,0
frame_0029.png,OK,99,159,0,0,1.224,11.8,True,0.0,0.0,0
frame_0030.png,OK,102,161,0,0,1.194,11.4,True,0.0,0.0,0
frame_0031.png,OK,102,162,0,0,1.224,10.5,True,0.0,0.0,0
frame_0032.png,OK,98,161,0,0,1.200,10.5,True,0.0,0.0,0
frame_0033.png,OK,99,160,0,0,1.194,3.1,True,0.0,0.0,0
frame_0034.png,OK,102,161,0,0,1.171,11.0,True,0.0,0.0,0
frame_0035.png,OK,99,159,0,0,1.194,13.8,True,0.0,0.0,0
frame_0036.png,OK,99,159,0,0,1.159,10.0,True,0.0,0.0,0
frame_0037.png,OK,102,160,0,0,1.206,10.5,True,0.0,0.0,0
frame_0038.png,OK,102,161,0,0,1.188,10.6,True,0.0,0.0,0
frame_0039.png,OK,102,161,0,0,1.188,10.6,True,0.0,0.0,0
frame_0040.png,OK,102,158,0,0,1.159,10.9,True,0.0,0.0,0
frame_0041.png,OK,99,159,0,0,1.153,10.4,True,0.0,0.0,0
frame_0042.png,OK,99,159,0,0,1.153,10.4,True,0.0,0.0,0
frame_0043.png,OK,99,159,0,0,1.188,10.8,True,0.0,0.0,0
frame_0044.png,OK,102,160,0,0,1.165,10.9,True,0.0,0.0,0
frame_0045.png,OK,98,161,0,0,1.194,10.5,True,0.0,0.0,0
frame_0046.png,OK,99,159,0,0,1.194,10.6,True,0.0,0.0,0
frame_0047.png,OK,98,161,0,0,1.206,11.1,True,0.0,0.0,0
frame_0048.png,OK,99,161,0,0,1.206,10.6,True,0.0,0.0,0
frame_0049.png,OK,102,160,0,0,1.182,10.1,True,0.0,0.0,0
frame_0050.png,OK,99,161,0,0,1.159,11.1,True,0.0,0.0,0
frame_0051.png,OK,99,161,0,0,1.159,11.1,True,0.0,0.0,0
frame_0052.png,OK,102,160,0,0,1.218,10.1,True,0.0,0.0,0
frame_0053.png,OK,102,161,0,0,1.235,1.1,True,0.0,0.0,0
frame_0054.png,OK,99,161,0,0,1.218,10.5,True,0.0,0.0,0
frame_0055.png,OK,102,159,0,0,1.171,10.9,True,0.0,0.0,0
frame_0056.png,OK,99,160,0,0,1.165,10.9,True,0.0,0.0,0
frame_0057.png,OK,98,160,0,0,1.182,11.2,True,0.0,0.0,0
frame_0058.png,OK,102,160,0,0,1.206,11.5,True,0.0,0.0,0
frame_0059.png,OK,98,162,0,0,1.224,-0.4,True,0.0,0.0,0
frame_0060.png,OK,102,160,0,0,1.159,10.4,True,0.0,0.0,0
frame_0061.png,OK,99,159,0,0,1.171,10.1,True,0.0,0.0,0
frame_0062.png,OK,98,162,0,0,1.176,10.3,True,0.0,0.0,0
frame_0063.png,OK,98,161,0,0,1.153,10.1,True,0.0,0.0,0
frame_0064.png,OK,98,161,0,0,1.153,10.1,True,0.0,0.0,0
frame_0065.png,OK,98,160,0,0,1.188,10.5,True,0.0,0.0,0
frame_0066.png,OK,99,162,0,0,1.194,10.9,True,0.0,0.0,0
frame_0067.png,OK,99,159,0,0,1.200,11.3,True,0.0,0.0,0
frame_0068.png,OK,102,160,0,0,1.182,-0.6,True,0.0,0.0,0
frame_0069.png,OK,99,165,0,0,1.224,10.7,True,0.0,0.0,0
frame_0070.png,OK,99,162,0,0,1.194,9.8,True,0.0,0.0,0
frame_0071.png,OK,98,165,0,0,1.247,11.5,True,0.0,0.0,0
frame_0072.png,OK,102,160,0,0,1.171,-18.6,True,0.0,0.0,0
frame_0073.png,OK,102,165,0,0,1.224,10.1,True,0.0,0.0,0
frame_0074.png,OK,102,159,0,0,1.206,5.2,True,0.0,0.0,0
frame_0075.png,OK,102,162,0,0,1.188,10.2,True,0.0,0.0,0
frame_0076.png,OK,99,164,0,0,1.200,-1.1,True,0.0,0.0,0
frame_0077.png,OK,99,164,0,0,1.200,-1.1,True,0.0,0.0,0
frame_0078.png,OK,98,163,0,0,1.165,10.8,True,0.0,0.0,0
frame_0079.png,OK,102,166,0,0,1.176,4.0,True,0.0,0.0,0
frame_0080.png,OK,98,162,0,0,1.206,10.0,True,0.0,0.0,0
frame_0081.png,OK,98,163,0,0,1.218,4.7,True,0.0,0.0,0
frame_0082.png,OK,98,163,0,0,1.218,4.7,True,0.0,0.0,0
frame_0083.png,OK,98,163,0,0,1.206,5.4,True,0.0,0.0,0
frame_0084.png,OK,98,164,0,0,1.194,4.6,True,0.0,0.0,0
frame_0085.png,OK,98,164,0,0,1.224,3.3,True,0.0,0.0,0
frame_0086.png,OK,102,160,0,0,1.200,10.9,True,0.0,0.0,0
frame_0087.png,OK,98,162,0,0,1.194,10.4,True,0.0,0.0,0
frame_0088.png,OK,99,162,0,0,1.212,11.1,True,0.0,0.0,0
frame_0089.png,OK,99,161,0,0,1.212,10.5,True,0.0,0.0,0
frame_0090.png,OK,99,160,0,0,1.218,9.8,True,0.0,0.0,0
frame_0091.png,OK,98,163,0,0,1.218,2.3,True,0.0,0.0,0
frame_0092.png,OK,102,160,0,0,1.182,8.2,True,0.0,0.0,0
frame_0093.png,OK,99,160,0,0,1.188,2.5,True,0.0,0.0,0
